# https://unicode.org/charts/PDF/U1E800.pdf
# https://unicode.org/L2/L2012/12023-n4167-mende.pdf
#
# Combining number bases
𞣐	
𞣑	
𞣒	
𞣓	
𞣔	
𞣕	
𞣖	
