# https://en.wikipedia.org/wiki/Mathematical_Alphanumeric_Symbols#Greek_letters_and_symbols
# ala-lc 2010 ancient
α	a
β	b
γ	g
δ	d
ε	e
ζ	z
η	e
θ	th
ι	i
κ	k
λ	l
μ	m
ν	n
ξ	x
ο	o
π	p
ρ	r
σ	s
τ	t
υ	y
φ	ph
χ	ch
ψ	ps
ω	o
ϝ	w
#
∇	D
∂	d
