# mathematical operators
# supplemental mathematical operators
∀	V
⩿	<=
⪀	>=
⪁	<=
⪂	>=
⪃	<=
⪄	>=
⪅	<
⪆	>
⪇	<
⪈	>
⪉	<
⪊	>
⪋	=
⪌	=
⪍	<
⪎	>
⪏	~
⪐	~
⪑	=
⪒	=
⪓	=
⪔	=
⪕	=<
⪖	=>
⪗	=<
⪘	=>
⪙	=<
⪚	=>
⪛	=<
⪜	=>
⪝	~<
⪞	~>
⪟	<
⪠	>
⪡	<<
⪢	>>
⪣	<<
⪤	><
⪥	><
⪦	<
⪧	>
⪨	<
⪩	>
⪪	<
⪫	>
⪬	<
⪭	>
⪮	=
⪯	<
⪰	>
⪱	<
⪲	>
⪳	<
⪴	>
⪵	<
⪶	>
⪷	<
⪸	>
⪹	<
⪺	>
⪻	<<
⪼	>>
#
⪽	<
⪾	>
⪿	<
⫀	>
⫁	<
⫂	>
⫃	<
⫄	>
⫅	<
⫆	>
⫇	<
⫈	>
⫉	<
⫊	>
⫋	<
⫌	>
⫍	[
⫎	]
⫏	<
⫐	>
⫑	<
⫒	>
⫓	-
⫔	-
⫕	<
⫖	>
⫗	><
⫘	><
#
⫙	+
⫚	+
⫛	+
⫝̸	+
⫝	+
#
⫞	+
⫟	+
⫠	+
⫡	+
⫢	+
⫣	+
⫤	+
⫥	+
⫦	+
⫧	+
⫨	+
⫩	+
⫪	+
⫫	+
⫬	-
⫭	-
#
⫮	|
⫯	|
⫰	|
⫱	|
⫲	||
⫳	||
⫴	|||
⫵	|||
#
⫶	:
#
⫷	<<<
⫸	>>>
⫹	<=
⫺	>=
⫻	///
#
⫼	|||
⫽	//
⫾	|
⫿	|
