1,18797
2,187C7
3,187BC
4,17D37
5,17007
6,17D3C
7,17D64
8,17000
9,17108
10,1710A
11,17D3D
12,17D4F
13,17005
14,1702B
15,17365
16,17148
17,1700F
18,17028
19,1711B
20,17D58
21,17D5A
22,17D55
23,17D72
24,1820B
25,1700D
26,17004
27,17111
28,17366
29,17D48
30,17001
31,1879D
32,170FF
33,17D47
34,17D53
35,17015
36,184EC
37,17D30
38,17003
39,187D7
40,17D3E
41,17D4B
42,1701B
43,1701C
44,17024
45,187CB
46,187C0
47,17D45
48,1702D
49,17109
50,1701F
51,17D54
52,1710B
53,17D73
54,17D38
55,17D63
56,1700E
57,17023
58,17D71
59,17D33
60,17D49
61,17100
62,17D31
63,187C5
64,17104
65,17006
66,17009
67,17011
68,17012
69,17016
70,17018
71,17D32
72,17D40
73,17D6F
74,17E15
75,1766C
76,17101
77,17029
78,17D70
79,1711C
80,1700B
81,17110
82,17019
83,17D43
84,17020
85,1702A
86,17114
87,17008
88,17025
89,17014
90,1701D
91,1702E
92,17D3A
93,17D66
94,17112
95,17021
96,184A1
97,17027
98,17D57
99,1702F
100,18229
101,17002
102,1821A
103,17D44
104,1700A
105,17D3F
106,17D5E
107,17D68
108,17113
109,17D6B
110,17D3B
111,17D42
112,17367
113,17D46
114,17D6A
115,17D5D
116,1700C
117,1702C
118,187C3
119,17D4D
120,17D69
121,17D6E
122,1820C
123,17116
124,17D35
125,17D4A
126,17D6C
127,17D39
128,17D4E
129,17D59
130,17D65
131,17D56
132,17115
133,17D5C
134,17D62
135,17D6D
136,17D67
137,17D5B
138,17D60
139,17D50
140,17D34
141,1820A
142,1710E
143,17010
144,17D5F
145,17017
146,17D61
147,17013
148,1701E
149,17D4C
150,18527
151,18790
152,17D52
153,17D41
154,17D51
155,17DAE
156,18779
157,17DE0
158,17620
159,1811C
160,18219
161,17665
162,17639
163,180FA
164,17657
165,17655
166,18107
167,177F5
168,177F7
169,18604
170,18713
171,1861B
172,18684
173,175DB
174,17C19
175,17C1F
176,17C1E
177,17674
178,17658
179,17E49
180,177FC
181,170D2
182,17648
183,18106
184,17E22
185,17E34
186,181D7
187,184BA
188,184BE
189,181AF
190,17DE6
191,181B0
192,181C9
193,18222
194,181AE
195,17D9B
196,184A7
197,18526
198,17E3C
199,17E44
200,18695
201,1763A
202,17638
203,1765E
204,17E43
205,1764A
206,17801
207,175D5
208,17E3B
209,17653
210,187C1
211,17E4A
212,181A4
213,17D9A
214,1852B
215,18223
216,1819E
217,17DDE
218,175D4
219,17379
220,17E40
221,18105
222,17637
223,1764C
