Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
47	𗵅	U+17D45	L0047	L0047	lwu	1lwuq3	IX	62	1	59	l	w	u	q			III		
48	𗀭	U+1702D	L0048	L0048	thwu	2thwu4	III	3	2	3	th	w	u				IV		
49	𗄉	U+17109	L0049	L0049	zi	2zi4	IX	11	2	10	z		i				IV		
50	𗀟	U+1701F	L0050	L0050	ni	1ni'4	III	14	1	14	n		i			'	IV		
51	𗵔	U+17D54	L0051	L0051	thar	1thar'1	III	88	1	83	th		a	r		'	I		
52	𗄋	U+1710B	L0052	L0052	zhi	1zhi3	IX	10	1	10	zh		i				III		
53	𗵳	U+17D73	L0053	L0053	no	2noq4	III	75	2	64	n		o	q			IV		
54	𗴸	U+17D38	L0054	L0054	tswa	1tswa1	VI	17	1	17	ts	w	a				I		
55	𗵣	U+17D63	L0055	L0055	chew	2chew3	VII	46	2	40	ch		e		w		III		
56	𗀎	U+1700E	L0056	L0056	rer	2rer4	IX	79	2	68	r		e	r			IV		
57	𗀣	U+17023	L0057	L0057	har	1har1	VIII	85	1	80	h		a	r			I	L0232	
58	𗵱	U+17D71	L0058	L0058	kir	1kir4	V	84	1	79	k		i	r			IV		
59	𗴳	U+17D33	L0059	L0059	lher	2lher1	IX	77	2	66	lh		e	r			I		
60	𗵉	U+17D49	L0060	L0060	don	1don1	III	56	1	54	d		o		n		I		
61	𗄀	U+17100	L0061	L0061	?	0???	?	?	0	?	?		?				?		
62	𗴱	U+17D31	L0062	L0062	ror	2ror4	IX	96	2	81	r		o	r			IV		
63	𘟅	U+187C5	L0063	L0063	chhe	1chhe3	VII	36	1	35	chh		e				III		
64	𗄄	U+17104	L0064	L0064	di	2diq4	III	70	2	60	d		i	q			IV	L1147	
65	𗀆	U+17006	L0065	L0065	gwyr	2gwyr4	V	92	2	77	g	w	y	r			IV		
