ꚠ,a
𖣑,wup
𖣒,ŋguet
𖣓,nsɔm
𖣔,ntɛn
𖣕,kuɔp nkaarə
𖣖,nsun
𖣗,ndam
𖣘,ma nsie
𖣙,yaa
𖣚,ndap
𖣛,ʃüʔ
𖣜,ʃɛtfɔn
𖣝,mbi
𖣞,məmba
𖣟,mbanyi
𖣠,kɯsɯx
𖣡,mbɯx
𖣢,kɯm
𖣣,mbaa
𖣤,yuwɔʔ
𖣥,nʒɯx
𖣦,mie
𖣧,muə
𖣨,ʃiʔ
𖣩,kɛn
𖣪,kɛn
𖣫,ŋaʔ
𖣬,naʔ
𖣭,liʔ
𖣮,pin
𖣯,pɛn
𖣰,tɛt
𖣱,mbuɔ
𖣲,wap
𖣳,nʒi
𖣴,mfɔn
𖣵,nʒie
𖣶,lie
𖣷,nʒɯt
𖣸,nʃe
𖣹,ŋgaamə
𖣺,nyam
𖣻,wuən
𖣼,ŋkun
𖣽,ʃe
𖣾,ŋkap
𖣿,kɯətmɯn
𖤀,tɯt
𖤁,ʃɯə
𖤂,nʒap
𖤃,sü
𖤄,kɛt
𖤅,yəmmə
𖤆,kuɔm
𖤇,sap
𖤈,mfɯt
𖤉,ndɯx
𖤊,maleri
𖤋,mɯt
𖤌,sɯəʔ
𖤍,yɛn
𖤎,nʒɯəm
𖤏,kɯɔt mbuə
𖤐,ŋkɯri
𖤑,tu
𖤒,ɣaa
𖤓,ŋkye
𖤔,fɯfɯət
𖤕,nde
𖤖,mgbɔfum
𖤗,lɯəp
𖤘,ndɔn
𖤙,mɔni
𖤚,mgbɯn
𖤛,puut
𖤜,mgbie
𖤝,mfo
𖤞,lum
𖤟,nsiep
𖤠,mbaa
𖤡,kwət
𖤢,nyɛt
𖤣,tɯən
𖤤,sɔt
𖤥,yuwɔʔ
𖤦,kɯm
𖤧,rəm
𖤨,tee
𖤩,ŋkɯəʔ
𖤪,mfɯə
𖤫,nsiet
𖤬,kɯp
𖤭,pip
𖤮,pɯtə
𖤯,nyü
𖤰,lɛt
𖤱,ŋgaam
𖤲,mfie
𖤳,ŋgwən
𖤴,yuɔm
𖤵,pap
𖤶,yuɔp
𖤷,ndam
𖤸,ntɯm
𖤹,suə
𖤺,kun
𖤻,ŋgɯx
𖤼,ŋkie
𖤽,tuɔt
𖤾,mɯn
𖤿,kuʔ
𖥀,nsum
𖥁,tɯn
𖥂,mənʒɛt
𖥃,ŋgap
𖥄,lɯm
𖥅,ŋguɔm
𖥆,nʃut
𖥇,nʒüʔ
𖥈,ɣɯə
𖥉,ku
𖥊,rɛn
𖥋,tə
𖥌,tɔʔ
𖥍,nyi
𖥎,rii
𖥏,lee
𖥐,mee
𖥑,m
𖥒,suu
𖥓,mu
𖥔,ʃii
𖥕,ʃɯx
𖥖,kye
𖥗,nu
𖥘,ʃu
𖥙,nte
𖥚,pe
𖥛,n'i
𖥜,ʃɔʔ
𖥝,puʔ
𖥞,mvɔp
𖥟,lɔʔ
𖥠,rɛn
𖥡,ti
𖥢,ntuu
𖥣,samba
𖥤,saʔ
𖥥,faa
𖥦,ndap
𖥧,tɔɔn
𖥨,mbɯm
𖥩,lap
𖥪,vɔm
𖥫,lɔɔn
𖥬,paa
𖥭,sɔm
𖥮,raʔ
𖥯,nʃuɔp
𖥰,ndun
𖥱,puə
𖥲,tam
𖥳,ŋka
𖥴,kpɯx
𖥵,wuɔ
𖥶,se
𖥷,ŋgɯət
𖥸,paam
𖥹,tɔɔ
𖥺,kuɔp
𖥻,lɔm
𖥼,nʃie
𖥽,ŋgɔp
𖥾,məm
𖥿,ŋkɯx
𖦀,ŋɔʔ
𖦁,nʃü
𖦂,rimgba
𖦃,nʒɯx
𖦄,pem
𖦅,saa
𖦆,ŋgurə
𖦇,mgba
𖦈,ɣɯx
𖦉,ŋkɯəm
𖦊,nʒəmli
𖦋,map
𖦌,lɔɔt
𖦍,ŋgee
𖦎,ndiʔ
𖦏,tən ntɯm
𖦐,sɛt
𖦑,pum
𖦒,ndaa
𖦓,ŋguəʃə nyam
𖦔,yie
𖦕,ɣɯn
𖦖,tuə
𖦗,yɯə
𖦘,pɔ
𖦙,tumə
𖦚,kɯə
𖦛,suən
𖦜,tɯəʔ
𖦝,vɯə
𖦞,wɯx
𖦟,laam
𖦠,pu
𖦡,taaʔ
𖦢,ɣaamə
𖦣,ŋɯrɯt
𖦤,ʃɯəʔ
𖦥,mgbɛn
𖦦,mbe
𖦧,nzaʔ
𖦨,nkɔm
𖦩,gbɛt
𖦪,tum
𖦫,küt
𖦬,yap
𖦭,nyi
𖦮,yit
𖦯,mfɯʔ
𖦰,ndiaʔ
𖦱,pieʔ
𖦲,yüʔ
𖦳,lɯəm
𖦴,fü
𖦵,gbɯx
