𓃩	130e9	E20	
𓃪	130ea	E20:V30	
𓃫	130eb	E21	
𓃬	130ec	mAi E22	
𓃭	130ed	rw E23	
𓃮	130ee	Aby E24	
𓃯	130ef	E25	
𓃰	130f0	E26	
𓃱	130f1	E27	
𓃲	130f2	E28	
𓃳	130f3	W10*E28:N24	eqv
𓃴	130f4	E29	
𓃵	130f5	E30	
𓃶	130f6	E31	
𓃷	130f7	E32	
𓃸	130f8	E33	
𓃹	130f9	wn E34	contextual rendering variant: U+130fa
𓃻	130fb	E36	
𓃼	130fc	E37	
𓃽	130fd	E38	
𓃾	130fe	F1	
𓃿	130ff	F63	
𓄀	13100	F2	
𓄁	13101	F3	
𓄂	13102	HAt F4	
𓄃	13103	SsA F5	
𓄄	13104	F6	
𓄅	13105	F7	
𓄆	13106	F8	
𓄇	13107	F9	
𓄈	13108	F10	
𓄉	13109	F11	
𓄊	1310a	wsr F12	
𓄋	1310b	wp F13	
𓄍	1310d	F14	
𓄎	1310e	F15	
𓄏	1310f	db F16	
𓄐	13110	F17	
𓄑	13111	bH F18	
𓄒	13112	F19	
𓄓	13113	ns F20	
𓄔	13114	sDm F21	
𓄖	13116	pH F22	
𓄗	13117	xpS F23	
𓄘	13118	F24	
𓄙	13119	wHm F25	
𓄚	1311a	Xn F26	
𓄛	1311b	F27	
𓄜	1311c	F28	
𓄝	1311d	sti F29	
𓄞	1311e	Sd F30	
𓄟	1311f	ms F31	
𓄡	13121	X F32	
𓄢	13122	sd F33	
𓄣	13123	ib F34	
𓄤	13124	nfr F35	
𓄥	13125	zmA F36	
𓄦	13126	F37	
𓄧	13127	F37b	
𓄨	13128	F38	
𓄪	1312a	imAx F39	
𓄫	1312b	Aw F40	
𓄬	1312c	F41	
𓄭	1312d	spr F42	
𓄮	1312e	F43	
𓄯	1312f	iwa F44	
𓄰	13130	F45	
𓄲	13132	qAb F46	
𓄳	13133	F46a	
𓄴	13134	F47	
𓄵	13135	F47a	
𓄶	13136	F48	
𓄷	13137	F49	
𓄸	13138	F50	
𓄹	13139	F51	
𓄺	1313a	F51-F51-F51	
𓄻	1313b	F51:F51:F51	
𓄼	1313c	F51a	
𓄽	1313d	F52	
𓄾	1313e	F53	
𓄿	1313f	A G1	
𓅀	13140	AA G2	
𓅁	13141	G3	
𓅂	13142	tyw G4	
𓅃	13143	G5	
𓅄	13144	G6	
𓅅	13145	G139	
𓅆	13146	G7	
𓅇	13147	G7a	
𓅈	13148	G7b	
𓅉	13149	G8	
𓅊	1314a	G9	
𓅋	1314b	G10	
𓅌	1314c	G11	
𓅎	1314e	G12	
𓅏	1314f	G13	
𓅐	13150	mwt G14	
𓅑	13151	G15	
𓅒	13152	nbty G16	
𓅓	13153	m G17	
𓅔	13154	mm G18	
𓅕	13155	G19	
𓅖	13156	G20	
𓅗	13157	G90	
𓅘	13158	nH G21	
𓅙	13159	Db G22	
𓅚	1315a	rxyt G23	
𓅛	1315b	G24	
𓅜	1315c	Ax G25	
𓅝	1315d	G26	
𓅞	1315e	G26a	
𓅟	1315f	dSr G27	
𓅠	13160	gm G28	
𓅡	13161	bA G29	
𓅢	13162	G30	
𓅣	13163	G31	
𓅤	13164	baHi G32	
𓅥	13165	G33	
𓅦	13166	G34	
𓅧	13167	aq G35	
𓅨	13168	wr G36	contextual rendering variant: U+13169
𓅪	1316a	nDs G37	contextual rendering variant: U+1316b
𓅬	1316c	gb G38	
𓅭	1316d	zA G39	
𓅮	1316e	pA G40	
𓅯	1316f	xn G41	
𓅰	13170	wSA G42	
𓅱	13171	w G43	
𓅲	13172	t&w	
𓅳	13173	ww G44	
𓅴	13174	G45	
𓅵	13175	G247	
𓅶	13176	mAw G46	
𓅷	13177	TA G47	
𓅸	13178	G48	
𓅹	13179	G49	
𓅺	1317a	G50	
𓅻	1317b	G51	
𓅼	1317c	G52	
𓅽	1317d	G53	
𓅾	1317e	snD G54	
𓅿	1317f	H1	
𓆀	13180	wSm H2	
𓆁	13181	pAq H3	
𓆂	13182	nr H4	
𓆃	13183	H5	
𓆄	13184	Sw H6	
𓆅	13185	H6a	
𓆆	13186	H7	
𓆇	13187	H8	
𓆈	13188	aSA I1	
𓆉	13189	Styw I2	
𓆊	1318a	mzH I3	
𓆋	1318b	sbk I4	
𓆌	1318c	sAq I5	
𓆍	1318d	I5a	
𓆎	1318e	km I6	
𓆏	1318f	I7	
𓆐	13190	Hfn I8	
𓆑	13191	f I9	
𓆒	13192	I24	
𓆓	13193	D I10	
𓆔	13194	I31	
𓆕	13195	DD I11	
𓆖	13196	I11:t:N18	
𓆗	13197	I12	
𓆘	13198	I13	
𓆙	13199	I14	
𓆚	1319a	I15	
𓆛	1319b	in K1	
𓆜	1319c	K2	
𓆝	1319d	ad K3	
𓆞	1319e	XA K4	
𓆟	1319f	bz K5	
𓆠	131a0	nSmt K6	
𓆡	131a1	K7	
𓆢	131a2	K8	
𓆣	131a3	xpr L1	
𓆤	131a4	bit L2	
𓆥	131a5	M23:t-L2:t	
𓆦	131a6	L3	
𓆧	131a7	L4	
𓆨	131a8	L5	
𓆩	131a9	L6	
𓆪	131aa	L6\	
𓆫	131ab	srqt L7	
𓆬	131ac	L8	
𓆭	131ad	iAm M1	
𓆮	131ae	M1a	
𓆯	131af	M48	
𓆰	131b0	Hn M2	
𓆱	131b1	xt M3	
𓆳	131b3	rnp M4	
𓆴	131b4	M5	
𓆵	131b5	tr M6	
𓆶	131b6	M7	
𓆷	131b7	SA M8	
𓆸	131b8	zSn M9	
𓆹	131b9	M10	
𓆺	131ba	M72	
𓆻	131bb	wdn M11	
𓆼	131bc	M12 1000	
𓆽	131bd	M12-M12	
𓆾	131be	M12-M12-M12	
𓆿	131bf	M12-M12-M12-M12	
𓇀	131c0	M12-M12-M12-M12-M12	
𓇁	131c1	M12*M12*M12:M12*M12*M12	
𓇂	131c2	M12*M12*M12*M12:M12*M12*M12	
𓇃	131c3	M12*M12*M12*M12:M12*M12*M12*M12	
𓇄	131c4	M12*M12*M12:M12*M12*M12:M12*M12*M12	
𓇅	131c5	wAD M13	
𓇆	131c6	M14	
𓇇	131c7	M15	
𓇈	131c8	M139	
𓇉	131c9	HA M16	
𓇊	131ca	M139a	
𓇋	131cb	i M17	
𓇌	131cc	Y i-i M17-M17	"y" in some implementations
𓇍	131cd	ii M18	
𓇎	131ce	M19	
𓇏	131cf	sxt M20	
𓇐	131d0	sm M21	
𓇑	131d1	M22	
𓇒	131d2	nn M22-M22	
𓇓	131d3	sw M23	
𓇔	131d4	rsw M24	
𓇕	131d5	M24b	
𓇖	131d6	M25	
𓇗	131d7	Sma M26	
𓇘	131d8	M27	
𓇙	131d9	M28	
𓇚	131da	M140b	
𓇛	131db	nDm M29	
𓇜	131dc	bnr M30	
𓇝	131dd	M31	
𓇟	131df	M32	
𓇠	131e0	M33	
𓇡	131e1	M33a	
𓇣	131e3	bdt M34	
𓇤	131e4	M35	
𓇥	131e5	Dr M36	
𓇦	131e6	M37	
𓇧	131e7	M38	
𓇨	131e8	M39	
𓇩	131e9	iz M40	
𓇫	131eb	M41	
𓇬	131ec	M42	
𓇭	131ed	M43	
𓇮	131ee	M44	
𓇯	131ef	pt N1	
𓇰	131f0	N2	
𓇱	131f1	N3	
𓇲	131f2	idt N4	
𓇳	131f3	zw N5	
𓇴	131f4	N6	
𓇵	131f5	N7	
𓇶	131f6	Hnmmt N8	
𓇷	131f7	pzD N9	
𓇸	131f8	N10	
𓇹	131f9	iaH N11	
𓇺	131fa	N12	
𓇻	131fb	N13	
𓇼	131fc	sbA N14	
𓇽	131fd	dwAt N15	
𓇾	131fe	tA N16	
𓇿	131ff	N17	
𓈀	13200	iw N18	
𓈁	13201	N18b	
𓈂	13202	N102	
𓈃	13203	N19	
𓈄	13204	wDb N20	
𓈅	13205	N21	
𓈆	13206	N22	
𓈇	13207	N23	
𓈈	13208	spAt N24	
𓈉	13209	xAst N25	contextual rendering variant: U+1320a
𓈋	1320b	Dw N26	
𓈌	1320c	Axt N27	
𓈍	1320d	xa N28	
𓈎	1320e	q N29	
𓈏	1320f	iAt N30	
𓈐	13210	N31	
𓈑	13211	N32	
𓈒	13212	N33	U+130c9 is N33 used numerically
𓈓	13213	N33a	
𓈔	13214	N34	
𓈖	13216	n N35	
𓈗	13217	mw N35a	
𓈘	13218	N36	
𓈙	13219	S N37	
𓈛	1321b	N38	
𓈜	1321c	N39	
𓈝	1321d	Sm N40	
𓈞	1321e	id N41	
𓈟	1321f	N42	
𓈠	13220	O121a	eqv
𓈡	13221	F158	eqv
𓈢	13222	G264	eqv
𓈣	13223	T116a	eqv
𓈤	13224	T64a	eqv
𓈥	13225	T62*(V22:t):R12A:N24	eqv
