LFW,Simple,Complex,Class,Rhyme,Tone,Subrhyme,Initial,Medial,Vowel,Cycle,Nasal/w,Prime,Grade,Variant,Notes
L0091,thew,2thew1,III,44,2,38,th,,e,,w,,I,,
L0092,ma,1ma4,I,20,1,20,m,,a,,,,IV,,
L0093,to,1toq4,III,75,1,72,t,,o,q,,,IV,,
L0094,shwo,1shwo3,VII,50,1,48,sh,w,o,,,,III,,
L0095,chha,1chha'3,VII,21,1,21,chh,,a,,,',III,,
L0096,me,2me4,I,37,2,33,m,,e,,,,IV,,
L0097,de,2de'4,III,40,2,35,d,,e,,,',IV,,
L0098,ror,2ror4,IX,96,2,81,r,,o,r,,,IV,,
L0099,thwy,1thwy4,III,31,1,30,th,w,y,,,,IV,,
L0100,lew,1lew1,IX,44,1,43,l,,e,,w,,I,,
L0101,chha,1chha'3,VII,21,1,21,chh,,a,,,',III,,
L0102,gy,2gy4,V,31,2,28,g,,y,,,,IV,,
L0103,lu,2luq3,IX,62,2,52,l,,u,q,,,III,,
L0104,chha,1chha'3,VII,21,1,21,chh,,a,,,',III,,
L0105,ku,1kuq4,V,62,1,59,k,,u,q,,,IV,,
L0106,shon,1shon'2,VII,59,1,57,sh,,o,,n,',II,,
L0107,shy,1shy2,VII,29,1,28,sh,,y,,,,II,,
L0108,gy,2gyq4,V,72,2,61,g,,y,q,,,IV,,
L0109,ge,1geq4,V,64,1,61,g,,e,q,,,IV,,
L0110,me,1me1,I,34,1,33,m,,e,,,,I,,
L0111,ly,1ly3,IX,30,1,29,l,,y,,,,III,,
L0112,li,2liq1,IX,68,2,58,l,,i,q,,,I,,
L0113,shen,1shen3,VII,43,1,42,sh,,e,,n,,III,,
L0114,jwe,2jwe3,VII,36,2,32,j,w,e,,,,III,,
L0115,lon,2lon1,IX,56,2,47,l,,o,,n,,I,,
L0116,chha,1chha3,VII,19,1,19,chh,,a,,,,III,,
L0117,thew,2thew1,III,44,2,38,th,,e,,w,,I,,
L0118,no,2no1,III,51,2,42,n,,o,,,,I,,
L0119,lu,2luq3,IX,62,2,52,l,,u,q,,,III,,
L0120,lon,2lon1,IX,56,2,47,l,,o,,n,,I,,
L0121,di,1diq1,III,68,1,65,d,,i,q,,,I,,
L0122,vo,1vo'3,II,55,1,53,v,,o,,,',III,,
L0123,ji,0ji?,VII,?,0,?,j,,i,,,,?,,
L0124,lu,2luq3,IX,62,2,52,l,,u,q,,,III,,
L0125,mu,2mu'4,I,7,2,6,m,,u,,,',IV,,
L0126,ve,2ve1,II,34,2,30,v,,e,,,,I,,
L0127,no,2no1,III,51,2,42,n,,o,,,,I,,
L0128,shen,1shen3,VII,43,1,42,sh,,e,,n,,III,,
L0129,bo,1bo'2,I,55,1,53,b,,o,,,',II,,
L0130,thu,2thu1,III,1,2,1,th,,u,,,,I,,
L0131,tswin,1tswin4,VI,16,1,16,ts,w,i,,n,,IV,,
L0132,she,1she3,VII,36,1,35,sh,,e,,,,III,,
L0133,lwyr,2lwyr1,IX,90,2,76,l,w,y,r,,,I,,
L0134,u,2u3,VIII,2,2,2,Ø,,u,,,,III,,Grade III Ø-!
L0135,ko,1koq4,V,75,1,72,k,,o,q,,,IV,,
L0136,de,2de'4,III,40,2,35,d,,e,,,',IV,,
L0137,lu,2luq3,IX,62,2,52,l,,u,q,,,III,,
L0138,chho,2chho3,VII,53,2,44,chh,,o,,,,III,,
L0139,ne,2ne1,III,34,2,30,n,,e,,,,I,,
L0140,rer,2rer1,IX,77,2,66,r,,e,r,,,I,,
L0141,vi,1vi'3,II,14,1,14,v,,i,,,',III,,
L0142,li,2liq3,IX,70,2,60,l,,i,q,,,III,,
L0143,je,1je3,VII,36,1,35,j,,e,,,,III,,
L0144,tshwan,1tshwan4,VI,27,1,26,tsh,w,a,,n,,IV,,
L0145,tsew,2tsew'1,VI,48,2,41,ts,,e,,w,',I,,
L0146,che,2che2,VII,35,2,31,ch,,e,,,,II,,
L0147,she,2she3,VII,36,2,32,sh,,e,,,,III,,
L0148,to,1toq1,III,73,1,70,t,,o,q,,,I,,
L0149,wer,2wer1,VIII,77,2,66,Ø,w,e,r,,,I,,
L0150,gu,1guq4,V,62,1,59,g,,u,q,,,IV,,
L0151,shu,1shu'3,VII,7,1,7,sh,,u,,,',III,,
L0152,ki,1kiq2,V,69,1,66,k,,i,q,,,II,,
L0153,khu,1khu1,V,1,1,1,kh,,u,,,,I,,
L0154,o,1o1,VIII,51,1,49,Ø,,o,,,,I,,
L0155,ga,1ga'4,V,24,1,23,g,,a,,,',IV,,
L0156,vir,2vir3,II,84,2,72,v,,i,r,,,III,,
L0157,chwe,1chwe2,VII,35,1,34,ch,w,e,,,,II,,
L0158,rer,2rer4,IX,79,2,68,r,,e,r,,,IV,,
L0159,no,2no1,III,51,2,42,n,,o,,,,I,,
L0160,de,1de4,III,37,1,36,d,,e,,,,IV,,
L0161,de,1deq4,III,64,1,61,d,,e,q,,,IV,,
L0162,khan,1khan4,V,27,1,26,kh,,a,,n,,IV,,
L0163,my,2my'4,I,33,2,29,m,,y,,,',IV,,
L0164,da,2daq1,III,66,2,56,d,,a,q,,,I,,
L0165,ha,0ha1,VIII,17,0,?,h,,a,,,,I,,
L0166,mi,1miq4,I,70,1,67,m,,i,q,,,IV,,
L0167,a,2a1,VIII,17,2,14,Ø,,a,,,,I,,
L0168,py,1py4,I,31,1,30,p,,y,,,,IV,,
L0169,shwi,1shwi3,VII,10,1,10,sh,w,i,,,,III,,
L0170,chhi,2chhi3,VII,10,2,9,chh,,i,,,,III,,
L0171,kew,1kew1,V,44,1,43,k,,e,,w,,I,,
L0172,ky,1ky4,V,31,1,30,k,,y,,,,IV,,
L0173,lha,2lha'2,IX,23,2,20,lh,,a,,,',II,,
L0174,khwi,2khwiq1,V,70,2,60,kh,w,i,q,,,I,,
L0175,wi,2wi4,VIII,11,2,10,Ø,w,i,,,,IV,,
L0176,na,1na'3,III,21,1,21,n,,a,,,',III,,
L0177,rar,1rar1,IX,85,1,80,r,,a,r,,,I,,
L0178,ghi,2ghiq2,VIII,69,2,59,gh,,i,q,,,II,,
L0179,gon,2gon3,V,58,2,49,g,,o,,n,,III,,
L0180,di,1di4,III,11,1,11,d,,i,,,,IV,,
L0181,ly,1ly1,IX,28,1,27,l,,y,,,,I,,
L0182,va,1vaq3,II,67,1,64,v,,a,q,,,III,,
L0183,pho,1pho4,I,53,1,51,ph,,o,,,,IV,,
L0184,twa,1twa1,III,17,1,17,t,w,a,,,,I,,
L0185,nwy,2nwy4,III,31,2,28,n,w,y,,,,IV,,
L0186,lu,2lu1,IX,1,2,1,l,,u,,,,I,,
L0187,nar,2nar1,III,85,2,73,n,,a,r,,,I,,
L0188,shwy,1shwy'3,VII,33,1,32,sh,w,y,,,',III,,
L0189,dzi,2dziq4,VI,70,2,60,dz,,i,q,,,IV,,
L0190,by,1by4,I,31,1,30,b,,y,,,,IV,,
